make;model;version;year_manufacture;year_model;km;price;location
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE TIPTRONIC;2019;2020;70.000km;R$ 136.990;Americana / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;70.000km;R$ 109.290;Americana / SP
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2021;2021;70.000km;R$ 76.490;Americana / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.000km;R$ 65.990;Belém / PA
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2018;2019;70.000km;R$ 129.990;Duque de Caxias / RJ
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2020;2020;70.000km;R$ 83.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.000km;R$ 65.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.000km;R$ 65.990;São Paulo / SP
Ford;Ka;1.0 TI-VCT FLEX S MANUAL;2019;2019;70.000km;R$ 54.990;São Paulo / SP
Chevrolet;Onix;1.0 TURBO FLEX LTZ MANUAL;2021;2021;70.000km;R$ 82.490;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2018;2018;70.000km;R$ 127.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;70.000km;R$ 83.290;Rio de Janeiro / RJ
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;70.000km;R$ 69.990;Rio de Janeiro / RJ
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;70.000km;R$ 87.880;Rio de Janeiro / RJ
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;70.000km;R$ 61.690;Rio de Janeiro / RJ
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;70.000km;R$ 61.690;Rio de Janeiro / RJ
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2020;2021;70.000km;R$ 85.677;Rio de Janeiro / RJ
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;70.000km;R$ 54.490;São Bernardo do Campo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.000km;R$ 65.490;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;70.000km;R$ 63.590;São Paulo / SP
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2020;2021;70.000km;R$ 77.990;São Paulo / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;70.000km;R$ 58.590;São Paulo / SP
Fiat;Uno;1.3 FIREFLY FLEX WAY 4P MANUAL;2020;2020;70.000km;R$ 53.990;São Paulo / SP
Chevrolet;Montana;1.4 MPFI LS CS 8V FLEX 2P MANUAL;2019;2020;70.000km;R$ 63.990;São José do Rio Preto / SP
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;70.000km;R$ 52.990;São José do Rio Preto / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;70.000km;R$ 61.190;São José do Rio Preto / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.000km;R$ 65.990;Taboão da Serra / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;70.000km;R$ 60.990;Goiânia / GO
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;70.000km;R$ 66.590;Palmas / TO
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;70.000km;R$ 109.290;São Paulo / SP
Fiat;Uno;1.3 FIREFLY FLEX WAY 4P MANUAL;2020;2020;70.000km;R$ 53.990;São Paulo / SP
Bmw;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO;2018;2018;70.000km;R$ 171.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.010km;R$ 65.990;Salvador / BA
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;70.050km;R$ 62.190;Canoas / RS
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;70.074km;R$ 54.490;Mogi das Cruzes / SP
Fiat;Uno;1.0 FIREFLY FLEX WAY 4P MANUAL;2018;2019;70.085km;R$ 49.490;Guarapuava / PR
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2020;2020;70.100km;R$ 56.990;São Paulo / SP
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2019;2020;70.117km;R$ 50.490;Londrina / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;70.150km;R$ 61.590;Curitiba / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;70.190km;R$ 56.490;João pessoa / PB
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;70.200km;R$ 87.880;São Paulo / SP
Fiat;Strada;1.4 MPI HARD WORKING CS 8V FLEX 2P MANUAL;2019;2020;70.204km;R$ 66.490;Betim / MG
Chevrolet;Prisma;1.0 MPFI JOY 8V FLEX 4P MANUAL;2018;2019;70.233km;R$ 57.490;Osasco / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;70.285km;R$ 62.190;Curitiba / PR
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;70.300km;R$ 58.590;Teresina / PI
Ford;Ka;1.5 TI-VCT FLEX SE SEDAN MANUAL;2020;2021;70.305km;R$ 64.490;Contagem / MG
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2020;2021;70.382km;R$ 76.590;Belo Horizonte / MG
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2020;2021;70.382km;R$ 76.590;Contagem / MG
Chevrolet;Onix;1.0 TURBO FLEX PLUS LT MANUAL;2020;2020;70.400km;R$ 76.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;70.552km;R$ 61.190;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;70.589km;R$ 87.880;Goiânia / GO
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.590km;R$ 66.990;Belém / PA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;70.604km;R$ 87.880;Maringá / PR
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;70.610km;R$ 84.990;Curitiba / PR
Chevrolet;Onix;1.0 TURBO FLEX LTZ AUTOMÁTICO;2020;2021;70.634km;R$ 85.677;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;70.705km;R$ 51.490;Joinville / SC
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;70.810km;R$ 82.990;Natal / RN
Chevrolet;Onix;1.0 MPFI JOY 8V FLEX 4P MANUAL;2019;2019;70.817km;R$ 55.690;Presidente Prudente / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;70.913km;R$ 65.990;São Paulo / SP
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;70.913km;R$ 103.690;Manaus / AM
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;70.995km;R$ 53.890;Ponta Grossa / PR
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2020;2021;71.000km;R$ 77.990;Rio de Janeiro / RJ
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;71.000km;R$ 56.990;Mauá / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;71.000km;R$ 65.990;Taboão da Serra / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2019;2020;71.000km;R$ 55.990;Teresina / PI
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;71.015km;R$ 65.990;Porto Alegre / RS
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;71.047km;R$ 65.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;71.067km;R$ 83.290;Osasco / SP
