make;model;version;year_manufacture;year_model;km;price;location
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.357km;R$ 94.990;Mogi das Cruzes / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.391km;R$ 94.990;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.448km;R$ 94.990;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.448km;R$ 94.990;Mogi das Cruzes / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.448km;R$ 94.990;Santos / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.469km;R$ 88.990;Mogi das Cruzes / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.469km;R$ 88.990;Taboão da Serra / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;22.469km;R$ 107.990;Manaus / AM
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;22.536km;R$ 86.540;Rio de Janeiro / RJ
Chevrolet;Cobalt;1.4 MPFI LT 8V FLEX 4P MANUAL;2019;2020;22.541km;R$ 69.990;João pessoa / PB
Renault;Duster;1.6 16V SCE FLEX ZEN X-TRONIC;2021;2021;22.542km;R$ 97.990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.568km;R$ 91.590;Goiânia / GO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.617km;R$ 91.590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.617km;R$ 91.590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.624km;R$ 91.590;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;22.635km;R$ 94.990;Mogi das Cruzes / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;22.729km;R$ 68.990;Feira de Santana / BA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;22.748km;R$ 101.590;Porto Alegre / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;22.752km;R$ 91.590;Duque de Caxias / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.000km;R$ 91.590;Fortaleza / CE
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2019;2020;23.000km;R$ 130.990;São Luis / MA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.000km;R$ 91.590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.130km;R$ 91.590;Balneário Camboriú / SC
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.150km;R$ 91.590;Fortaleza / CE
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;23.156km;R$ 95.090;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;23.173km;R$ 55.590;Canoas / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.232km;R$ 91.590;Várzea Grande / MT
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;23.232km;R$ 91.590;Várzea Grande / MT
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.238km;R$ 91.590;Cascavel / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.260km;R$ 91.590;Feira de Santana / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.260km;R$ 91.590;Vitória da Conquista / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.441km;R$ 86.540;Mesquita / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.441km;R$ 86.540;Niterói / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.445km;R$ 91.590;Curitiba / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.450km;R$ 91.590;São Luis / MA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.458km;R$ 91.590;Contagem / MG
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE TIPTRONIC;2020;2020;23.463km;R$ 136.990;Manaus / AM
Renault;Captur;1.6 16V SCE FLEX BOSE X-TRONIC;2020;2021;23.479km;R$ 104.990;São Paulo / SP
Toyota;Corolla;2.0 VVT-IE FLEX XEI DIRECT SHIFT;2021;2022;23.541km;R$ 143.990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.585km;R$ 91.590;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;23.604km;R$ 94.990;Palmas / TO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.626km;R$ 86.540;Mesquita / RJ
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;23.661km;R$ 53.990;Guarapuava / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.665km;R$ 91.590;Joinville / SC
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;23.861km;R$ 91.590;Rio de Janeiro / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;23.867km;R$ 83.990;São Luis / MA
Renault;Kwid;1.0 12V SCE FLEX INTENSE MANUAL;2021;2022;23.885km;R$ 61.990;Betim / MG
Toyota;Corolla;2.0 VVT-IE FLEX ALTIS DIRECT SHIFT;2020;2021;23.917km;R$ 165.990;Joinville / SC
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;23.994km;R$ 94.990;Guarapuava / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;23.994km;R$ 94.990;Pato Branco / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.000km;R$ 94.990;Mesquita / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;24.031km;R$ 111.990;Betim / MG
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.129km;R$ 94.990;Osasco / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.129km;R$ 94.990;São Paulo / SP
Peugeot;208;1.6 16V FLEX ALLURE AT6;2021;2022;24.132km;R$ 88.990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;24.150km;R$ 91.590;Maringá / PR
Renault;Duster;1.6 16V SCE FLEX ZEN X-TRONIC;2020;2021;24.255km;R$ 97.990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;24.314km;R$ 91.590;Mesquita / RJ
Bmw;I3;ELÉTRICO eDRIVE BEV FULL AUTOMÁTICO;2020;2021;24.335km;R$ 259.990;São Paulo / SP
Bmw;I3;ELÉTRICO eDRIVE BEV FULL AUTOMÁTICO;2020;2021;24.335km;R$ 259.990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;24.416km;R$ 86.540;Feira de Santana / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;24.416km;R$ 86.540;Salvador / BA
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;24.443km;R$ 72.990;Vitória / ES
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;24.530km;R$ 83.990;Vitória / ES
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;24.570km;R$ 86.540;Contagem / MG
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.575km;R$ 94.990;Maringá / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;24.603km;R$ 142.390;Maceió / AL
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;24.615km;R$ 91.590;Curitiba / PR
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;24.664km;R$ 129.990;Campo Grande / MS
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;24.666km;R$ 94.990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;24.800km;R$ 86.540;Maceió / AL
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;24.834km;R$ 86.540;Cascavel / PR
Hyundai;Hb20x;1.6 16V FLEX DIAMOND AUTOMÁTICO;2020;2021;24.901km;R$ 94.990;Feira de Santana / BA
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;24.901km;R$ 129.990;Belo Horizonte / MG
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;24.901km;R$ 129.990;Uberlândia / MG
Hyundai;Hb20x;1.6 16V FLEX DIAMOND AUTOMÁTICO;2020;2021;24.901km;R$ 94.990;Lauro de Freitas / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;24.990km;R$ 86.540;São Luis / MA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2021;2021;25.000km;R$ 101.590;Rio de Janeiro / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2021;2021;25.000km;R$ 119.990;Rio de Janeiro / RJ
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;25.000km;R$ 94.990;Rio de Janeiro / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;25.000km;R$ 91.590;Rio de Janeiro / RJ
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;25.000km;R$ 129.990;Niterói / RJ
