make;model;version;year_manufacture;year_model;km;price;location
Mercedes-Benz;Gla 200;1.6 CGI FLEX STYLE 7G-DCT;2019;2020;67.024km;R$ 193.990;Osasco / SP
Mercedes-Benz;Gla 200;1.6 CGI FLEX STYLE 7G-DCT;2019;2020;67.024km;R$ 193.990;Osasco / SP
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE TIPTRONIC;2019;2020;67.024km;R$ 136.990;Rio de Janeiro / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;67.050km;R$ 104.990;Londrina / PR
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2020;67.077km;R$ 120.990;Brasília / DF
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;67.078km;R$ 49.990;Cascavel / PR
Jeep;Compass;2.0 16V FLEX SPORT AUTOMÁTICO;2019;2019;67.113km;R$ 117.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;67.120km;R$ 65.990;Lauro de Freitas / BA
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2020;2021;67.125km;R$ 76.490;Betim / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;67.173km;R$ 57.490;Lauro de Freitas / BA
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;67.215km;R$ 82.990;Porto Alegre / RS
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;67.250km;R$ 56.990;São Paulo / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;67.250km;R$ 56.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;67.332km;R$ 65.990;Santos / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;67.346km;R$ 56.990;São Bernardo do Campo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;67.355km;R$ 63.490;Curitiba / PR
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;67.361km;R$ 93.990;Porto Alegre / RS
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2020;2020;67.472km;R$ 56.990;Cascavel / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;67.580km;R$ 65.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;67.600km;R$ 83.290;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2020;67.667km;R$ 120.990;Natal / RN
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2020;67.667km;R$ 120.990;João pessoa / PB
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;67.769km;R$ 61.190;Osasco / SP
