make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2019;2020;53.391km;R$ 104.990;Maceió / AL
Volkswagen;Virtus;1.6 MSI TOTAL FLEX AUTOMÁTICO;2020;2020;53.397km;R$ 81.990;Feira de Santana / BA
Volkswagen;Tiguan;2.0 350 TSI GASOLINA ALLSPACE R-LINE 4MOTION DSG;2019;2019;53.400km;R$ 204.990;São Paulo / SP
Volkswagen;Amarok;2.0 SE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;2019;2020;53.422km;R$ 166.590;Betim / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;53.441km;R$ 61.590;Cascavel / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;53.445km;R$ 133.990;Presidente Prudente / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;53.471km;R$ 169.990;Belo Horizonte / MG
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;53.491km;R$ 98.940;Anápolis / GO
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;53.493km;R$ 169.990;São Paulo / SP
Hyundai;Hb20s;1.0 12V FLEX VISION MANUAL;2021;2022;53.568km;R$ 74.990;Santos / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2019;2020;53.575km;R$ 94.557;São José do Rio Preto / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;53.585km;R$ 67.990;São Paulo / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;53.585km;R$ 67.990;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;53.625km;R$ 98.940;Natal / RN
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2018;2018;53.664km;R$ 127.990;São Paulo / SP
Volkswagen;Saveiro;1.6 MSI ROBUST CS 8V FLEX 2P MANUAL;2020;2021;53.692km;R$ 69.590;Belo Horizonte / MG
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;53.692km;R$ 95.990;Várzea Grande / MT
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;53.744km;R$ 69.930;Manaus / AM
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;53.760km;R$ 63.490;Cascavel / PR
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;53.770km;R$ 66.590;Curitiba / PR
Volkswagen;Amarok;2.0 SE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;2019;2020;53.777km;R$ 166.590;Contagem / MG
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;53.828km;R$ 65.990;Presidente Prudente / SP
Volkswagen;Virtus;1.6 MSI TOTAL FLEX AUTOMÁTICO;2020;2020;53.891km;R$ 81.990;Ribeirão Preto / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;53.943km;R$ 82.490;Presidente Prudente / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;53.965km;R$ 61.590;Ponta Grossa / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;54.000km;R$ 139.320;Fortaleza / CE
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2021;2021;54.000km;R$ 100.520;São Paulo / SP
Hyundai;Hb20s;1.0 UNIQUE 12V FLEX 4P MANUAL;2019;2019;54.000km;R$ 59.990;Mauá / SP
Chevrolet;Onix;1.0 MPFI JOY 8V FLEX 4P MANUAL;2019;2019;54.000km;R$ 55.690;Recife / PE
