make;model;version;year_manufacture;year_model;km;price;location
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;47.750km;R$ 98.940;Fortaleza / CE
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;47.770km;R$ 139.320;Ananindeua / PA
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2020;47.776km;R$ 120.990;Lauro de Freitas / BA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2021;2021;47.844km;R$ 98.940;São Paulo / SP
Toyota;Hilux;2.8 D-4D TURBO DIESEL CD POWER PACK 4X4 MANUAL;2020;2021;47.850km;R$ 209.990;Guarapuava / PR
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;47.879km;R$ 63.490;Guarapuava / PR
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;47.899km;R$ 100.520;Várzea Grande / MT
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;47.906km;R$ 54.390;Mesquita / RJ
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;47.934km;R$ 58.590;Feira de Santana / BA
Mercedes-Benz;Gla 200;1.6 CGI FLEX STYLE 7G-DCT;2019;2020;48.000km;R$ 193.990;Feira de Santana / BA
Volkswagen;Polo;1.0 200 TSI HIGHLINE AUTOMÁTICO;2019;2020;48.000km;R$ 94.990;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;48.000km;R$ 109.290;Rio de Janeiro / RJ
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;48.000km;R$ 67.990;Rio de Janeiro / RJ
Mercedes-Benz;Gla 200;1.6 CGI FLEX STYLE 7G-DCT;2019;2020;48.000km;R$ 193.990;Osasco / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;48.000km;R$ 67.990;Rio de Janeiro / RJ
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2020;48.000km;R$ 94.557;Ananindeua / PA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;48.014km;R$ 87.880;Mogi das Cruzes / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;48.032km;R$ 95.990;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX SPORT 4P AUTOMÁTICO;2021;2021;48.097km;R$ 96.990;Santos / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;48.100km;R$ 58.590;Joinville / SC
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;48.119km;R$ 87.880;Várzea Grande / MT
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;48.135km;R$ 105.790;Maringá / PR
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;48.184km;R$ 169.990;Betim / MG
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;48.217km;R$ 164.990;Recife / PE
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2020;48.250km;R$ 94.557;Teresina / PI
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2018;2019;48.330km;R$ 169.990;Vitória da Conquista / BA
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;48.350km;R$ 112.990;Manaus / AM
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;48.372km;R$ 109.290;Santos / SP
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;48.388km;R$ 100.520;Guarapuava / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2020;48.390km;R$ 120.990;Curitiba / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;48.400km;R$ 139.320;Brasília / DF
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;48.433km;R$ 67.990;Niterói / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2020;48.450km;R$ 104.990;Belém / PA
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;48.461km;R$ 69.990;Rio de Janeiro / RJ
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;48.475km;R$ 80.015;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;48.498km;R$ 63.490;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;48.498km;R$ 63.490;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;48.516km;R$ 87.880;Betim / MG
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;48.516km;R$ 87.880;Uberlândia / MG
Fiat;Cronos;1.8 E.TORQ FLEX PRECISION AT6;2021;2021;48.634km;R$ 91.990;Mogi das Cruzes / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;48.637km;R$ 58.590;Mauá / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2020;2021;48.638km;R$ 115.990;Ribeirão Preto / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;48.697km;R$ 169.990;Belo Horizonte / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;48.725km;R$ 69.930;Presidente Prudente / SP
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2020;2021;48.756km;R$ 171.990;João pessoa / PB
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;48.767km;R$ 66.590;São Paulo / SP
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2021;2022;48.776km;R$ 112.990;São Jose dos Campos / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;48.806km;R$ 60.990;Feira de Santana / BA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;48.847km;R$ 87.880;Curitiba / PR
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2020;48.883km;R$ 115.990;Osasco / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;48.901km;R$ 67.990;Santo André / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;48.945km;R$ 50.990;João pessoa / PB
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2021;2022;48.946km;R$ 112.990;São Paulo / SP
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;49.000km;R$ 100.520;Belém / PA
Chevrolet;Spin;1.8 ACTIV 8V FLEX 4P AUTOMÁTICO;2020;2021;49.000km;R$ 101.520;Belém / PA
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;49.000km;R$ 63.490;Mesquita / RJ
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;49.000km;R$ 54.390;Niterói / RJ
