make;model;version;year_manufacture;year_model;km;price;location
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;33.354km;R$ 140.390;Maceió / AL
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;33.354km;R$ 140.390;Maceió / AL
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;33.440km;R$ 55.490;Mesquita / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;33.467km;R$ 89.990;Palmas / TO
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;33.508km;R$ 140.390;Balneário Camboriú / SC
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;33.508km;R$ 140.390;Taboão da Serra / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;33.563km;R$ 65.290;Manaus / AM
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;33.615km;R$ 71.590;Canoas / RS
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2019;33.700km;R$ 148.990;Belém / PA
Ford;Ka;1.0 TI-VCT FLEX S MANUAL;2019;2019;33.718km;R$ 56.990;Recife / PE
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;33.719km;R$ 59.590;Salvador / BA
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;33.785km;R$ 54.590;Canoas / RS
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;33.791km;R$ 140.390;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;33.832km;R$ 89.990;São Paulo / SP
