make;model;version;year_manufacture;year_model;km;price;location
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;54.001km;R$ 139.320;Jundiaí / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2020;54.009km;R$ 94.557;Anápolis / GO
Ford;Ecosport;1.5 TI-VCT FLEX SE AUTOMÁTICO;2020;2021;54.061km;R$ 82.990;Osasco / SP
Ford;Ecosport;1.5 TI-VCT FLEX SE AUTOMÁTICO;2020;2021;54.061km;R$ 82.990;São José do Rio Preto / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;54.100km;R$ 139.320;Osasco / SP
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2021;2021;54.100km;R$ 105.790;Campo Grande / MS
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;54.100km;R$ 139.320;Osasco / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;54.113km;R$ 82.490;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;54.131km;R$ 86.990;Americana / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;54.139km;R$ 61.590;Betim / MG
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2018;2019;54.213km;R$ 148.990;Vitória da Conquista / BA
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;54.228km;R$ 139.320;Brasília / DF
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;54.231km;R$ 100.520;Guarapuava / PR
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;54.277km;R$ 109.290;Guarapuava / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;54.300km;R$ 57.490;Uberlândia / MG
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;54.312km;R$ 87.880;São Paulo / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;54.366km;R$ 61.590;Curitiba / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;54.421km;R$ 61.590;Lauro de Freitas / BA
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;54.436km;R$ 63.490;Guarapuava / PR
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2019;2020;54.446km;R$ 93.990;Campo Grande / MS
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;54.500km;R$ 53.890;Curitiba / PR
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;54.529km;R$ 58.590;Belo Horizonte / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;54.578km;R$ 61.590;Santo André / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;54.579km;R$ 61.790;Mauá / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;54.579km;R$ 61.790;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;54.580km;R$ 54.890;Brasília / DF
Chevrolet;Onix;1.0 TURBO FLEX PLUS LT MANUAL;2020;2020;54.603km;R$ 76.990;João pessoa / PB
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;54.640km;R$ 67.990;Osasco / SP
Volkswagen;Saveiro;1.6 MSI ROBUST CS 8V FLEX 2P MANUAL;2020;2021;54.668km;R$ 69.590;Várzea Grande / MT
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;54.700km;R$ 61.190;Mogi das Cruzes / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;54.700km;R$ 61.190;Joinville / SC
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;54.730km;R$ 139.320;Curitiba / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;54.730km;R$ 139.320;São Paulo / SP
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2018;2019;54.788km;R$ 54.990;Belo Horizonte / MG
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;54.860km;R$ 85.990;Porto Alegre / RS
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;54.861km;R$ 169.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;54.862km;R$ 87.880;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;54.893km;R$ 51.290;Americana / SP
Chevrolet;Cruze;1.4 TURBO LTZ 16V FLEX 4P AUTOMÁTICO;2018;2019;54.924km;R$ 137.990;São Paulo / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;54.935km;R$ 61.590;Curitiba / PR
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;54.950km;R$ 169.990;Guarapuava / PR
