make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;75.550km;R$ 85.990;Porto Alegre / RS
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;75.558km;R$ 59.990;Presidente Prudente / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;75.658km;R$ 61.690;Vitória da Conquista / BA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;75.735km;R$ 87.490;Jaraguá do Sul / SC
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;75.748km;R$ 65.990;São Paulo / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2019;2020;75.818km;R$ 55.990;Duque de Caxias / RJ
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2019;2020;75.822km;R$ 77.990;Guarapuava / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;75.866km;R$ 61.690;Niterói / RJ
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;75.959km;R$ 62.190;Cascavel / PR
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;75.990km;R$ 52.990;Fortaleza / CE
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;76.000km;R$ 65.990;Fortaleza / CE
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2019;2020;76.000km;R$ 49.490;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;76.028km;R$ 56.490;Cascavel / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;76.035km;R$ 62.190;Maringá / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;76.048km;R$ 65.990;São Paulo / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2019;2020;76.058km;R$ 54.990;Betim / MG
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2019;2020;76.058km;R$ 54.990;Uberlândia / MG
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;76.069km;R$ 53.990;Taboão da Serra / SP
Renault;Duster;1.6 16V SCE FLEX EXPRESSION X-TRONIC;2019;2020;76.070km;R$ 79.590;São Bernardo do Campo / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2019;2020;76.075km;R$ 55.990;Joinville / SC
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;76.088km;R$ 99.990;São Paulo / SP
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2019;76.138km;R$ 54.990;Lauro de Freitas / BA
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;76.162km;R$ 52.990;Presidente Prudente / SP
Renault;Duster;1.6 16V SCE FLEX EXPRESSION MANUAL;2019;2020;76.205km;R$ 76.990;Londrina / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;76.330km;R$ 53.290;Porto Alegre / RS
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;76.377km;R$ 52.990;Belo Horizonte / MG
Volkswagen;Polo;1.0 MPI TOTAL FLEX MANUAL;2019;2020;76.388km;R$ 65.420;Brasília / DF
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;76.438km;R$ 54.490;Santos / SP
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;76.570km;R$ 55.990;Taboão da Serra / SP
Ford;Ranger;2.2 XLS 4X4 CD 16V DIESEL 4P MANUAL;2019;2020;76.573km;R$ 159.990;Teresina / PI
Fiat;Toro;2.0 16V TURBO DIESEL FREEDOM 4WD AT9;2020;2021;76.589km;R$ 159.990;Palmas / TO
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;76.626km;R$ 61.190;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;76.674km;R$ 115.990;Contagem / MG
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2020;2020;76.770km;R$ 71.990;Maringá / PR
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;76.817km;R$ 54.490;Osasco / SP
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;76.817km;R$ 54.490;Osasco / SP
Volkswagen;Saveiro;1.6 MSI ROBUST CS 8V FLEX 2P MANUAL;2020;2021;76.850km;R$ 69.590;Maceió / AL
Volkswagen;Saveiro;1.6 MSI ROBUST CS 8V FLEX 2P MANUAL;2020;2021;76.850km;R$ 69.590;Natal / RN
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;76.962km;R$ 54.490;São Paulo / SP
Peugeot;208;1.6 16V FLEX GRIFFE AT6;2020;2021;77.000km;R$ 88.990;Osasco / SP
