make;model;version;year_manufacture;year_model;km;price;location
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;45.487km;R$ 49.990;Anápolis / GO
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;45.487km;R$ 49.990;Presidente Prudente / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;45.505km;R$ 104.990;São Jose dos Campos / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;45.517km;R$ 69.990;Mesquita / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;45.519km;R$ 115.990;Guarapuava / PR
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;45.519km;R$ 115.990;Pato Branco / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;45.560km;R$ 69.930;Salvador / BA
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2021;2021;45.565km;R$ 82.490;Osasco / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2021;2021;45.565km;R$ 82.490;Osasco / SP
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2020;2020;45.575km;R$ 51.990;Mogi das Cruzes / SP
Chevrolet;Onix;1.0 TURBO FLEX LT AUTOMÁTICO;2020;2021;45.618km;R$ 83.990;São Jose dos Campos / SP
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2019;2019;45.663km;R$ 126.990;Santo André / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;45.667km;R$ 139.320;São Bernardo do Campo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;45.685km;R$ 88.990;Manaus / AM
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;45.755km;R$ 139.320;Guarapuava / PR
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2021;2022;45.800km;R$ 112.990;São José do Rio Preto / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;45.841km;R$ 169.990;Santo André / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;45.845km;R$ 139.320;Londrina / PR
Toyota;Hilux;2.8 D-4D TURBO DIESEL CD POWER PACK 4X4 MANUAL;2020;2021;45.880km;R$ 209.990;Curitiba / PR
Chevrolet;Onix;1.0 TURBO FLEX LTZ MANUAL;2020;2021;45.891km;R$ 82.490;Vitória da Conquista / BA
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;45.919km;R$ 57.990;Lauro de Freitas / BA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;45.999km;R$ 87.880;Salvador / BA
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;46.000km;R$ 70.990;Americana / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2020;46.000km;R$ 120.990;Fortaleza / CE
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2021;2022;46.000km;R$ 112.990;São José do Rio Preto / SP
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;46.000km;R$ 66.590;Palmas / TO
Ford;Ka;1.0 TI-VCT FLEX SE SEDAN MANUAL;2019;2020;46.000km;R$ 57.490;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;46.010km;R$ 98.940;São Bernardo do Campo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;46.010km;R$ 115.990;Vitória / ES
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;46.040km;R$ 85.990;Porto Alegre / RS
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;46.047km;R$ 66.590;Ribeirão Preto / SP
Mercedes-Benz;Gla 200;1.6 CGI FLEX STYLE 7G-DCT;2019;2020;46.090km;R$ 187.990;Vitória da Conquista / BA
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;46.195km;R$ 57.490;Ponta Grossa / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;46.210km;R$ 64.190;Manaus / AM
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;46.241km;R$ 164.990;Brasília / DF
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;46.254km;R$ 61.590;Betim / MG
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;46.263km;R$ 58.590;Salvador / BA
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;46.269km;R$ 80.990;Santo André / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;46.301km;R$ 166.990;Belo Horizonte / MG
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;46.322km;R$ 105.790;São Paulo / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;46.350km;R$ 61.590;Recife / PE
Ford;Ka;1.5 TI-VCT FLEX SE SEDAN MANUAL;2020;2021;46.370km;R$ 64.490;Canoas / RS
Chevrolet;Cobalt;1.8 MPFI LTZ 8V FLEX 4P AUTOMÁTICO;2018;2019;46.380km;R$ 72.490;Belo Horizonte / MG
Jeep;Renegade;1.8 16V FLEX SPORT 4P AUTOMÁTICO;2021;2021;46.390km;R$ 96.990;Curitiba / PR
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2021;2021;46.405km;R$ 171.990;Curitiba / PR
Suzuki;Jimny;1.3 4WORK 4X4 16V GASOLINA 2P MANUAL;2018;2019;46.409km;R$ 87.990;Contagem / MG
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;46.419km;R$ 139.320;São José do Rio Preto / SP
Mercedes-Benz;C 180;1.6 CGI FLEX AVANTGARDE 9G-TRONIC;2020;2020;46.420km;R$ 215.990;Porto Alegre / RS
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;46.435km;R$ 126.190;Feira de Santana / BA
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;46.435km;R$ 126.190;Salvador / BA
Ford;Ecosport;1.5 TI-VCT FLEX SE AUTOMÁTICO;2019;2020;46.443km;R$ 82.990;Uberlândia / MG
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;46.468km;R$ 87.880;Duque de Caxias / RJ
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2020;2020;46.480km;R$ 51.990;Jundiaí / SP
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;46.512km;R$ 99.990;Maceió / AL
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;46.592km;R$ 82.990;Mesquita / RJ
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;46.592km;R$ 82.990;Niterói / RJ
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;46.610km;R$ 66.590;Ponta Grossa / PR
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;46.650km;R$ 98.940;Campo Grande / MS
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;46.679km;R$ 58.590;Feira de Santana / BA
Audi;Q3;1.4 35 TFSI FLEX PRESTIGE S TRONIC;2020;2020;46.699km;R$ 219.990;Guarapuava / PR
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;46.738km;R$ 100.520;Presidente Prudente / SP
Chevrolet;Onix;1.0 TURBO FLEX LTZ MANUAL;2020;2021;46.745km;R$ 82.490;Curitiba / PR
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2020;2021;46.745km;R$ 126.190;Presidente Prudente / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;46.755km;R$ 139.320;São Paulo / SP
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;46.800km;R$ 100.520;Ananindeua / PA
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;46.810km;R$ 139.320;Canoas / RS
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2018;2019;46.906km;R$ 96.990;Feira de Santana / BA
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2018;2019;46.906km;R$ 96.990;Salvador / BA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;46.922km;R$ 87.880;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;46.962km;R$ 139.320;São Bernardo do Campo / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;46.998km;R$ 164.990;Jaraguá do Sul / SC
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;47.000km;R$ 87.880;Rio de Janeiro / RJ
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;47.000km;R$ 66.590;Recife / PE
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;47.000km;R$ 57.490;Vitória / ES
Fiat;Toro;1.8 16V EVO FLEX FREEDOM AT6;2020;2021;47.000km;R$ 114.990;Natal / RN
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2021;2022;47.004km;R$ 76.990;Sorocaba / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;47.006km;R$ 82.490;Belo Horizonte / MG
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;47.063km;R$ 109.290;Goiânia / GO
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;47.096km;R$ 65.990;Uberlândia / MG
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;47.114km;R$ 112.990;Teresina / PI
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;47.161km;R$ 164.990;Presidente Prudente / SP
Peugeot;208;1.6 16V FLEX ACTIVE PACK AT6;2021;2021;47.163km;R$ 79.990;Guarapuava / PR
Mercedes-Benz;C 180;1.6 CGI FLEX AVANTGARDE 9G-TRONIC;2019;2019;47.168km;R$ 172.990;João pessoa / PB
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;47.249km;R$ 87.880;Mauá / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;47.288km;R$ 87.880;São Bernardo do Campo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2020;47.290km;R$ 120.990;São Paulo / SP
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;47.295km;R$ 56.990;Maringá / PR
Mercedes-Benz;C 180;1.6 CGI FLEX AVANTGARDE 9G-TRONIC;2019;2019;47.360km;R$ 179.990;São Paulo / SP
Mercedes-Benz;C 180;1.6 CGI GASOLINA AVANTGARDE 9G-TRONIC;2019;2019;47.360km;R$ 179.990;Taboão da Serra / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;47.433km;R$ 115.990;Cascavel / PR
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2020;2020;47.456km;R$ 129.990;São Paulo / SP
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2019;2020;47.456km;R$ 129.990;São Bernardo do Campo / SP
Renault;Sandero;1.6 16V SCE FLEX STEPWAY ZEN MANUAL;2020;2021;47.567km;R$ 68.990;Americana / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;47.576km;R$ 164.990;Maceió / AL
