make;model;version;year_manufacture;year_model;km;price;location
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2021;2021;18.668km;R$ 67.990;Lauro de Freitas / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;18.938km;R$ 91.590;Uberlândia / MG
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2021;2021;19.000km;R$ 142.390;Duque de Caxias / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;19.000km;R$ 111.990;Fortaleza / CE
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;19.000km;R$ 129.990;São Luis / MA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.000km;R$ 91.590;Natal / RN
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.000km;R$ 91.590;Natal / RN
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;19.063km;R$ 94.990;Belo Horizonte / MG
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;19.263km;R$ 105.790;Anápolis / GO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.265km;R$ 91.590;Curitiba / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.265km;R$ 91.590;Ponta Grossa / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;19.295km;R$ 72.990;Guarapuava / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;19.393km;R$ 63.590;Recife / PE
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;19.550km;R$ 68.990;Ananindeua / PA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.632km;R$ 91.590;João pessoa / PB
Hyundai;Hb20;1.0 12V FLEX EVOLUTION MANUAL;2021;2022;19.714km;R$ 76.990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.736km;R$ 91.590;São Luis / MA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;19.798km;R$ 85.590;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2020;19.798km;R$ 85.590;São Paulo / SP
Volkswagen;Voyage;1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO;2021;2022;19.867km;R$ 86.990;Guarapuava / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;19.890km;R$ 94.990;Osasco / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2020;2021;19.890km;R$ 94.990;Mogi das Cruzes / SP
Ford;Ka;1.0 TI-VCT FLEX SE PLUS SEDAN MANUAL;2020;2020;19.906km;R$ 59.490;Duque de Caxias / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.907km;R$ 91.590;Guarapuava / PR
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;19.931km;R$ 56.490;Brasília / DF
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2021;2022;19.991km;R$ 59.990;São Paulo / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2020;2020;20.000km;R$ 85.990;Osasco / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.000km;R$ 86.540;Jundiaí / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.000km;R$ 86.540;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;20.000km;R$ 107.990;Rio de Janeiro / RJ
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;2020;2020;20.000km;R$ 85.990;São Paulo / SP
Fiat;Doblo;1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL;2021;2021;20.000km;R$ 93.990;Vitória / ES
Ford;Ka;1.0 TI-VCT FLEX SE SEDAN MANUAL;2020;2020;20.000km;R$ 59.490;Santos / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;20.000km;R$ 86.540;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;20.010km;R$ 91.590;Balneário Camboriú / SC
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2020;20.017km;R$ 123.990;Fortaleza / CE
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;20.035km;R$ 72.990;Porto Alegre / RS
