make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;30.117km;R$ 64.590;Feira de Santana / BA
Peugeot;2008;1.6 16V FLEX ALLURE 4P AUTOMÁTICO;2021;2021;30.144km;R$ 85.540;Joinville / SC
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;30.167km;R$ 60.817;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;30.180km;R$ 93.095;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;30.195km;R$ 140.390;Mesquita / RJ
Ford;Ecosport;1.5 TI-VCT FLEX FREESTYLE AUTOMÁTICO;2019;2020;30.255km;R$ 86.990;Palmas / TO
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2021;2022;30.268km;R$ 76.990;Santos / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;30.272km;R$ 89.990;Osasco / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;30.286km;R$ 89.990;Sorocaba / SP
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2021;2021;30.377km;R$ 55.990;Belo Horizonte / MG
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;30.440km;R$ 100.590;Duque de Caxias / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;30.470km;R$ 89.990;Maringá / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;30.527km;R$ 89.990;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;30.590km;R$ 97.590;Belém / PA
Hyundai;Hb20;1.0 12V FLEX SENSE MANUAL;2019;2020;30.749km;R$ 58.990;Osasco / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;30.749km;R$ 140.390;Feira de Santana / BA
Hyundai;Hb20;1.0 12V FLEX SENSE MANUAL;2019;2020;30.749km;R$ 58.990;São Bernardo do Campo / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;30.753km;R$ 58.990;Lauro de Freitas / BA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;30.767km;R$ 88.690;Manaus / AM
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;30.787km;R$ 105.990;Feira de Santana / BA
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;30.793km;R$ 67.590;Guarapuava / PR
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;30.793km;R$ 67.590;Pato Branco / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;30.800km;R$ 93.095;Teresina / PI
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;30.815km;R$ 97.590;Lauro de Freitas / BA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;30.824km;R$ 100.590;Rio de Janeiro / RJ
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;30.831km;R$ 72.990;Contagem / MG
Volkswagen;Voyage;1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO;2020;2021;30.876km;R$ 64.590;São José do Rio Preto / SP
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;30.908km;R$ 83.990;Rio de Janeiro / RJ
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;30.912km;R$ 71.590;Porto Alegre / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;30.999km;R$ 85.540;Natal / RN
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;31.007km;R$ 140.390;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;31.016km;R$ 140.390;São Paulo / SP
Chevrolet;Onix;1.0 TURBO FLEX LTZ MANUAL;2020;2021;31.039km;R$ 82.490;Jaraguá do Sul / SC
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;31.090km;R$ 72.990;Maceió / AL
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;31.100km;R$ 140.390;Osasco / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;31.100km;R$ 140.390;São Paulo / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;31.100km;R$ 58.990;Porto Alegre / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;31.150km;R$ 82.990;Rio de Janeiro / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;31.152km;R$ 89.990;Maceió / AL
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;31.159km;R$ 85.540;Uberlândia / MG
Peugeot;208;1.6 16V FLEX ACTIVE PACK AT6;2021;2021;31.210km;R$ 79.990;Londrina / PR
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;31.216km;R$ 64.590;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;31.225km;R$ 89.990;Curitiba / PR
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;31.277km;R$ 72.990;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;31.290km;R$ 97.590;Belém / PA
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;31.301km;R$ 140.390;Natal / RN
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;31.404km;R$ 66.990;Natal / RN
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;31.446km;R$ 93.095;Osasco / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;31.497km;R$ 93.095;Betim / MG
Peugeot;2008;1.6 16V FLEX ALLURE 4P AUTOMÁTICO;2020;2021;31.505km;R$ 85.540;Guarapuava / PR
Jeep;Compass;2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO;2020;2021;31.517km;R$ 190.990;Niterói / RJ
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2021;2021;31.521km;R$ 97.590;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;31.595km;R$ 117.990;Guarapuava / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;31.637km;R$ 85.540;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;31.671km;R$ 89.990;Londrina / PR
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;31.672km;R$ 100.590;Rio de Janeiro / RJ
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2021;2022;31.705km;R$ 112.990;Curitiba / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;31.719km;R$ 85.540;Santos / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;31.719km;R$ 85.540;São Paulo / SP
Chevrolet;Tracker;1.2 TURBO FLEX AUTOMÁTICO;2020;2021;31.784km;R$ 126.990;Maceió / AL
Chevrolet;Tracker;1.2 TURBO FLEX PREMIER AUTOMÁTICO;2020;2021;31.784km;R$ 126.990;Maceió / AL
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;31.800km;R$ 94.990;Goiânia / GO
Ford;Ka;1.5 TI-VCT FLEX SE SEDAN MANUAL;2020;2021;31.815km;R$ 64.490;Jaraguá do Sul / SC
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;31.825km;R$ 110.290;Canoas / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;31.841km;R$ 85.540;João pessoa / PB
Volkswagen;Voyage;1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO;2021;2022;31.905km;R$ 72.990;Curitiba / PR
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2019;2020;32.018km;R$ 184.990;Mogi das Cruzes / SP
Peugeot;208;1.6 16V FLEX ACTIVE PACK AT6;2021;2021;32.077km;R$ 79.990;Osasco / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;32.100km;R$ 105.990;Manaus / AM
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;32.133km;R$ 128.590;Taboão da Serra / SP
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;32.133km;R$ 128.590;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;32.140km;R$ 93.095;São Paulo / SP
Volkswagen;Golf;1.4 TSI HÍBRIDO GTE DSG;2019;2020;32.195km;R$ 215.990;Campo Grande / MS
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;32.250km;R$ 100.590;Salvador / BA
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2021;2021;32.364km;R$ 55.990;Fortaleza / CE
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;32.429km;R$ 117.990;Mesquita / RJ
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;32.570km;R$ 97.590;Ananindeua / PA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;32.570km;R$ 97.590;Palmas / TO
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;32.599km;R$ 72.990;Brasília / DF
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;32.603km;R$ 55.490;Santo André / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2020;2021;32.646km;R$ 117.990;Anápolis / GO
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;32.688km;R$ 140.390;Sorocaba / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;32.692km;R$ 71.590;Salvador / BA
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;32.700km;R$ 67.990;Várzea Grande / MT
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;32.703km;R$ 82.490;São Paulo / SP
Audi;A5;2.0 TFSI GASOLINA SPORTBACK PRESTIGE S TRONIC;2019;2019;32.725km;R$ 214.990;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX LIVE EAT6;2021;2022;32.849km;R$ 93.095;Americana / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;32.907km;R$ 62.698;Presidente Prudente / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;32.924km;R$ 100.590;São Luis / MA
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;32.932km;R$ 140.390;Curitiba / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;32.972km;R$ 89.990;Santos / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;32.976km;R$ 140.390;Várzea Grande / MT
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;33.000km;R$ 89.990;Rio de Janeiro / RJ
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2020;2021;33.025km;R$ 171.990;São Bernardo do Campo / SP
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2020;2021;33.025km;R$ 171.990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;33.100km;R$ 89.990;Brasília / DF
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2021;2021;33.246km;R$ 55.990;Maceió / AL
