make;model;version;year_manufacture;year_model;km;price;location
Fiat;Doblo;1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL;2020;2021;35.942km;R$ 91.990;Mesquita / RJ
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;35.943km;R$ 67.590;Uberlândia / MG
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2019;2020;35.946km;R$ 144.990;Campo Grande / MS
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;35.964km;R$ 117.990;Vitória da Conquista / BA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;36.000km;R$ 97.590;Fortaleza / CE
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;36.000km;R$ 101.990;Fortaleza / CE
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;36.000km;R$ 97.590;Goiânia / GO
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;36.000km;R$ 105.990;São Luis / MA
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;36.000km;R$ 93.095;Uberlândia / MG
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;36.000km;R$ 83.990;Maceió / AL
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;36.004km;R$ 114.990;Belo Horizonte / MG
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;36.039km;R$ 97.590;Curitiba / PR
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;36.039km;R$ 97.590;Guarapuava / PR
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;36.086km;R$ 100.590;Niterói / RJ
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;36.087km;R$ 64.590;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;36.120km;R$ 85.540;Maceió / AL
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;36.154km;R$ 72.990;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;36.157km;R$ 64.590;Maceió / AL
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2021;2022;36.160km;R$ 76.990;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2021;36.176km;R$ 165.990;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;36.243km;R$ 140.390;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;36.243km;R$ 140.390;São Jose dos Campos / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;36.295km;R$ 72.990;Pato Branco / PR
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;36.318km;R$ 64.590;Manaus / AM
Mercedes-Benz;C 180;1.6 CGI FLEX AVANTGARDE 9G-TRONIC;2020;2020;36.390km;R$ 215.990;Cascavel / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;36.402km;R$ 89.990;Mauá / SP
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;36.420km;R$ 67.590;Porto Alegre / RS
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;36.480km;R$ 93.095;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;36.480km;R$ 93.095;Santo André / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;36.488km;R$ 89.990;Goiânia / GO
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;36.516km;R$ 117.990;João pessoa / PB
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;36.550km;R$ 88.690;Rio de Janeiro / RJ
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;36.671km;R$ 58.490;Recife / PE
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;36.729km;R$ 89.990;Presidente Prudente / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;36.756km;R$ 140.390;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;36.801km;R$ 89.990;Brasília / DF
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2020;2021;36.808km;R$ 77.490;Osasco / SP
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2020;2021;36.808km;R$ 77.490;São Paulo / SP
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;36.815km;R$ 67.590;Joinville / SC
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;36.818km;R$ 64.590;Natal / RN
Volkswagen;Golf;1.4 TSI HÍBRIDO GTE DSG;2019;2020;36.875km;R$ 215.990;Pato Branco / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;36.900km;R$ 140.390;Belo Horizonte / MG
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;36.910km;R$ 72.990;Goiânia / GO
