make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2019;2020;40.289km;R$ 75.490;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;40.300km;R$ 63.490;Porto Alegre / RS
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2020;40.302km;R$ 120.990;Contagem / MG
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;40.343km;R$ 87.880;Maringá / PR
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;40.388km;R$ 65.490;Guarapuava / PR
Fiat;Strada;1.4 FIRE FLEX ENDURANCE CS MANUAL;2020;2021;40.398km;R$ 84.990;Curitiba / PR
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;40.405km;R$ 71.990;Brasília / DF
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2019;40.415km;R$ 52.990;Porto Alegre / RS
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;40.490km;R$ 87.880;Natal / RN
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;40.505km;R$ 169.990;Pato Branco / PR
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;40.514km;R$ 100.520;Campo Grande / MS
Ford;Ka;1.5 TI-VCT FLEX SE SEDAN MANUAL;2020;2021;40.627km;R$ 64.490;Presidente Prudente / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2019;2020;40.680km;R$ 108.990;Curitiba / PR
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;40.713km;R$ 155.990;São Paulo / SP
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;40.740km;R$ 66.590;Jaraguá do Sul / SC
Mercedes-Benz;Gla 200;1.6 CGI FLEX STYLE 7G-DCT;2019;2020;40.760km;R$ 187.990;Balneário Camboriú / SC
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;40.769km;R$ 100.520;Recife / PE
Chevrolet;Onix;1.0 TURBO FLEX LTZ MANUAL;2021;2021;40.810km;R$ 82.490;Belo Horizonte / MG
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;40.851km;R$ 87.880;Feira de Santana / BA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;40.851km;R$ 87.880;Salvador / BA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;40.929km;R$ 98.940;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;40.940km;R$ 139.320;Porto Alegre / RS
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;40.983km;R$ 98.940;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;40.983km;R$ 98.940;Taboão da Serra / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;40.995km;R$ 87.880;Mesquita / RJ
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;41.000km;R$ 139.320;São Luis / MA
Ford;Ka;1.0 TI-VCT FLEX SE SEDAN MANUAL;2019;2020;41.000km;R$ 57.490;São Paulo / SP
Nissan;March;1.0 S 12V FLEX 4P MANUAL;2018;2019;41.030km;R$ 49.990;Ananindeua / PA
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;41.085km;R$ 115.990;Campo Grande / MS
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;41.163km;R$ 83.290;São Paulo / SP
Volkswagen;Golf;1.4 TSI HÍBRIDO GTE DSG;2019;2020;41.210km;R$ 215.990;Joinville / SC
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;41.308km;R$ 169.990;Recife / PE
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2019;41.335km;R$ 155.990;Balneário Camboriú / SC
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;41.335km;R$ 65.490;Porto Alegre / RS
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;41.379km;R$ 139.320;Manaus / AM
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;41.387km;R$ 95.990;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2020;41.389km;R$ 121.990;Mesquita / RJ
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;41.439km;R$ 100.520;São Paulo / SP
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2019;2020;41.460km;R$ 129.990;Curitiba / PR
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2021;2022;41.483km;R$ 75.990;São Paulo / SP
