make;model;version;year_manufacture;year_model;km;price;location
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;3.000km;R$ 94.990;Rio de Janeiro / RJ
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2017;2018;3.847km;R$ 69.990;Belo Horizonte / MG
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE PLUS TIPTRONIC;2020;2020;5.000km;R$ 146.990;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX OUTSIDER MANUAL;2021;2022;5.270km;R$ 65.990;Joinville / SC
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;6.280km;R$ 51.990;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;6.367km;R$ 73.990;Belo Horizonte / MG
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2020;6.642km;R$ 148.990;Feira de Santana / BA
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2020;6.642km;R$ 148.990;Salvador / BA
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;6.800km;R$ 73.990;Natal / RN
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2021;2021;8.103km;R$ 115.990;Lauro de Freitas / BA
Peugeot;208;1.6 16V FLEX ACTIVE PACK AT6;2021;2021;9.333km;R$ 79.990;João pessoa / PB
Volkswagen;Delivery;Delivery Express 2.8;2021;2022;9.616km;R$ 244.990;Manaus / AM
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;9.632km;R$ 63.990;Maceió / AL
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;10.065km;R$ 56.490;Várzea Grande / MT
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;10.096km;R$ 53.990;Osasco / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;10.096km;R$ 53.990;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;10.722km;R$ 94.990;Brasília / DF
Porsche;Panamera;2.9 V6 E-HYBRID 4 PDK;2021;2021;10.793km;R$ 1.030.000;São Paulo / SP
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2018;2018;10.818km;R$ 69.990;São Paulo / SP
Fiat;Fiorino;1.4 MPI FURGÃO 8V FLEX 2P MANUAL;2017;2017;11.027km;R$ 63.990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;11.517km;R$ 91.590;Curitiba / PR
Hyundai;Hb20;1.0 12V FLEX VISION MANUAL;2021;2022;11.745km;R$ 70.990;Curitiba / PR
Audi;A3;1.4 TFSI FLEX SEDAN PRESTIGE TIPTRONIC;2020;2020;12.000km;R$ 146.990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;12.327km;R$ 88.990;Natal / RN
Chevrolet;Onix;1.0 TURBO FLEX PREMIER AUTOMÁTICO;2020;2020;12.501km;R$ 91.990;Rio de Janeiro / RJ
Bmw;I3;ELÉTRICO eDRIVE BEV FULL AUTOMÁTICO;2020;2021;12.501km;R$ 259.990;Várzea Grande / MT
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;12.545km;R$ 72.590;Goiânia / GO
Fiat;Strada;1.4 MPI WORKING CS 8V FLEX 2P MANUAL;2019;2019;12.563km;R$ 61.490;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;12.654km;R$ 91.590;Recife / PE
Volkswagen;Delivery;Delivery Express 2.8;2021;2022;12.725km;R$ 244.990;Londrina / PR
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;12.771km;R$ 129.990;Taboão da Serra / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;12.777km;R$ 63.990;João pessoa / PB
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;12.778km;R$ 65.690;São Paulo / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2021;12.778km;R$ 65.690;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2021;2021;12.867km;R$ 64.990;Maceió / AL
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;12.968km;R$ 86.540;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;13.000km;R$ 91.590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;13.115km;R$ 86.540;Osasco / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;13.115km;R$ 86.540;Osasco / SP
Bmw;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I GP 4P AUTOMÁTICO;2020;2021;13.217km;R$ 229.990;Feira de Santana / BA
Bmw;X1;2.0 16V TURBO ACTIVEFLEX SDRIVE20I GP 4P AUTOMÁTICO;2020;2021;13.217km;R$ 229.990;Salvador / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;13.310km;R$ 91.590;Feira de Santana / BA
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2020;2021;13.338km;R$ 165.990;Recife / PE
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2019;2019;13.548km;R$ 90.990;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;13.651km;R$ 56.490;João pessoa / PB
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;13.733km;R$ 51.990;Santos / SP
Volkswagen;Delivery;Delivery Express 2.8;2021;2022;14.000km;R$ 244.990;Rio de Janeiro / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;14.000km;R$ 91.590;Maceió / AL
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;14.010km;R$ 91.590;Manaus / AM
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2021;14.362km;R$ 65.690;Guarapuava / PR
Chevrolet;Cruze;1.4 TURBO FLEX PREMIER AUTOMÁTICO;2020;2020;14.453km;R$ 122.990;Belo Horizonte / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;14.456km;R$ 72.990;Vitória / ES
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2021;2021;14.496km;R$ 56.990;Anápolis / GO
Mercedes-Benz;Gla 200;1.6 CGI FLEX ADVANCE 7G-DCT;2019;2020;14.531km;R$ 216.990;Sorocaba / SP
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;14.575km;R$ 129.990;Goiânia / GO
Renault;Captur;2.0 16V HI-FLEX INTENSE AUTOMÁTICO;2020;2021;14.600km;R$ 96.490;São Paulo / SP
Renault;Captur;2.0 16V HI-FLEX INTENSE AUTOMÁTICO;2020;2021;14.600km;R$ 94.990;São Paulo / SP
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;14.744km;R$ 129.990;Contagem / MG
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2021;2021;15.000km;R$ 129.990;São Paulo / SP
Renault;Captur;1.6 16V SCE FLEX BOSE X-TRONIC;2020;2021;15.000km;R$ 106.990;Vitória / ES
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;15.096km;R$ 91.590;João pessoa / PB
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;15.205km;R$ 129.990;Feira de Santana / BA
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;15.210km;R$ 95.090;Curitiba / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;15.300km;R$ 94.990;Ribeirão Preto / SP
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;15.500km;R$ 129.990;Natal / RN
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;15.500km;R$ 63.990;João pessoa / PB
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;15.898km;R$ 65.690;Curitiba / PR
Hyundai;Hb20s;1.6 16V FLEX VISION AUTOMÁTICO;2020;2021;16.012km;R$ 81.990;Vitória da Conquista / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;16.176km;R$ 91.590;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;16.215km;R$ 91.590;Feira de Santana / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;16.215km;R$ 91.590;Salvador / BA
Volkswagen;Voyage;1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO;2021;2022;16.316km;R$ 87.990;Porto Alegre / RS
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;16.382km;R$ 94.990;Manaus / AM
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;17.000km;R$ 86.540;Fortaleza / CE
Volkswagen;Delivery;Delivery Express 2.8;2021;2022;17.144km;R$ 244.990;Osasco / SP
