make;model;version;year_manufacture;year_model;km;price;location
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;59.099km;R$ 105.790;São Paulo / SP
Renault;Logan;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;59.125km;R$ 66.590;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;59.155km;R$ 65.990;Curitiba / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;59.225km;R$ 57.490;Presidente Prudente / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;59.282km;R$ 61.590;Guarapuava / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;59.285km;R$ 57.490;Guarapuava / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;59.355km;R$ 53.890;Curitiba / PR
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;59.367km;R$ 169.990;Maringá / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;59.405km;R$ 65.990;Curitiba / PR
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;59.414km;R$ 69.990;Mogi das Cruzes / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;59.414km;R$ 69.990;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;59.421km;R$ 115.990;São Bernardo do Campo / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE TIPTRONIC;2019;2020;59.457km;R$ 169.990;Ribeirão Preto / SP
Jeep;Compass;2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO;2020;2020;59.492km;R$ 180.990;São Paulo / SP
Jeep;Compass;2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO;2020;2020;59.492km;R$ 180.990;São Paulo / SP
Jeep;Compass;2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO;2020;2020;59.492km;R$ 180.990;São Paulo / SP
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;59.584km;R$ 93.490;João pessoa / PB
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;59.620km;R$ 61.590;Maringá / PR
Renault;Duster;1.6 16V SCE FLEX DYNAMIQUE X-TRONIC;2019;2020;59.656km;R$ 84.990;Guarapuava / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;59.667km;R$ 139.320;Goiânia / GO
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;59.724km;R$ 54.890;Brasília / DF
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;59.748km;R$ 57.490;Feira de Santana / BA
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;59.783km;R$ 56.490;Uberlândia / MG
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;59.784km;R$ 92.490;Santos / SP
Fiat;Toro;2.0 16V TURBO DIESEL FREEDOM 4WD AT9;2020;2021;59.819km;R$ 156.990;Niterói / RJ
Toyota;Hilux;2.8 D-4D TURBO DIESEL CD POWER PACK 4X4 MANUAL;2020;2021;59.826km;R$ 209.990;Guarapuava / PR
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;59.829km;R$ 169.990;São Bernardo do Campo / SP
