make;model;version;year_manufacture;year_model;km;price;location
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;25.957km;R$ 93.095;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;26.000km;R$ 85.540;Rio de Janeiro / RJ
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;26.000km;R$ 85.540;São Luis / MA
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;26.075km;R$ 93.095;Curitiba / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;26.195km;R$ 93.095;Guarapuava / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;26.217km;R$ 89.990;Lauro de Freitas / BA
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;26.280km;R$ 93.095;Natal / RN
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;26.280km;R$ 93.095;João pessoa / PB
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2021;2021;26.436km;R$ 55.990;Jaraguá do Sul / SC
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;26.469km;R$ 105.990;Palmas / TO
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;26.549km;R$ 93.095;São Paulo / SP
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;26.549km;R$ 93.095;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;26.678km;R$ 62.698;Betim / MG
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;26.678km;R$ 62.698;Palmas / TO
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;26.685km;R$ 62.698;Maceió / AL
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;26.741km;R$ 100.590;Pato Branco / PR
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;26.771km;R$ 97.590;Rio de Janeiro / RJ
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;26.779km;R$ 71.590;Guarapuava / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;26.920km;R$ 89.990;Porto Alegre / RS
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;26.934km;R$ 89.990;São Paulo / SP
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2020;2021;26.950km;R$ 80.990;Manaus / AM
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;26.975km;R$ 89.990;Curitiba / PR
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;26.979km;R$ 117.990;Contagem / MG
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;27.042km;R$ 62.190;Belo Horizonte / MG
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;27.065km;R$ 114.990;Belo Horizonte / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2020;2021;27.082km;R$ 85.540;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;27.082km;R$ 82.990;Rio de Janeiro / RJ
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2019;2020;27.146km;R$ 132.190;Contagem / MG
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;27.183km;R$ 85.540;Teresina / PI
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;27.189km;R$ 93.095;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2021;2021;27.228km;R$ 100.590;Lauro de Freitas / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;27.252km;R$ 85.540;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2020;27.300km;R$ 121.990;São Paulo / SP
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;27.380km;R$ 89.990;Guarapuava / PR
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;27.392km;R$ 57.990;Feira de Santana / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;27.430km;R$ 89.990;Curitiba / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;27.488km;R$ 93.095;Contagem / MG
