make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;61.220km;R$ 67.990;São Jose dos Campos / SP
Renault;Logan;1.0 12V SCE FLEX ZEN MANUAL;2022;2022;61.222km;R$ 73.990;Osasco / SP
Renault;Logan;1.0 12V SCE FLEX ZEN MANUAL;2022;2022;61.222km;R$ 73.990;Osasco / SP
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;61.226km;R$ 52.990;Maringá / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;61.246km;R$ 65.990;Curitiba / PR
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;61.253km;R$ 105.790;Betim / MG
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;61.295km;R$ 100.520;Betim / MG
Chevrolet;Onix;1.0 TURBO FLEX PLUS AUTOMÁTICO;2020;2020;61.310km;R$ 83.990;Mogi das Cruzes / SP
Chevrolet;Onix;1.0 TURBO FLEX LTZ AUTOMÁTICO;2020;2020;61.310km;R$ 83.990;São Bernardo do Campo / SP
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;61.381km;R$ 82.990;Campo Grande / MS
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;61.389km;R$ 133.990;São Paulo / SP
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;61.409km;R$ 90.990;Maceió / AL
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;61.426km;R$ 61.590;Santo André / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;61.432km;R$ 83.290;São Paulo / SP
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2020;2021;61.580km;R$ 80.990;Palmas / TO
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;61.605km;R$ 51.490;Jaraguá do Sul / SC
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;61.610km;R$ 61.590;Ponta Grossa / PR
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;61.650km;R$ 65.990;Maceió / AL
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;61.670km;R$ 56.990;Mesquita / RJ
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;61.710km;R$ 65.990;Curitiba / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;61.710km;R$ 61.590;Curitiba / PR
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;61.807km;R$ 57.990;São Paulo / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;61.810km;R$ 57.990;Campo Grande / MS
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;61.824km;R$ 115.990;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2020;2021;61.824km;R$ 115.990;Santos / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;61.832km;R$ 69.930;Anápolis / GO
Chevrolet;Tracker;1.2 TURBO FLEX PREMIER AUTOMÁTICO;2020;2021;61.835km;R$ 126.530;Canoas / RS
Fiat;Fiorino;1.4 MPI FURGÃO ENDURANCE 8V FLEX 2P MANUAL;2020;2021;61.847km;R$ 86.990;Sorocaba / SP
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;61.896km;R$ 63.490;Presidente Prudente / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;61.924km;R$ 61.190;São Paulo / SP
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;61.938km;R$ 100.520;Brasília / DF
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;62.000km;R$ 56.990;São Paulo / SP
Volkswagen;Amarok;2.0 SE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P MANUAL;2019;2020;62.000km;R$ 166.590;Ananindeua / PA
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;62.000km;R$ 56.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;62.090km;R$ 83.290;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;62.152km;R$ 62.190;Guarapuava / PR
Fiat;Argo;1.3 FIREFLY FLEX DRIVE MANUAL;2020;2021;62.160km;R$ 65.990;Santos / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2021;2022;62.300km;R$ 66.990;Lauro de Freitas / BA
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;62.336km;R$ 56.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;62.340km;R$ 62.690;Natal / RN
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2019;2020;62.369km;R$ 53.990;Salvador / BA
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;62.430km;R$ 80.500;São Paulo / SP
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;62.432km;R$ 49.490;São Paulo / SP
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;62.452km;R$ 99.990;Goiânia / GO
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;62.544km;R$ 65.990;Curitiba / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;62.585km;R$ 56.490;Joinville / SC
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;62.599km;R$ 164.990;Campo Grande / MS
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;62.671km;R$ 103.690;São Paulo / SP
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;62.671km;R$ 103.690;São Paulo / SP
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;62.671km;R$ 103.690;São Paulo / SP
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;62.713km;R$ 82.990;Maceió / AL
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;62.730km;R$ 55.390;Joinville / SC
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;62.739km;R$ 56.990;Osasco / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;62.739km;R$ 56.990;Osasco / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;62.751km;R$ 56.490;Manaus / AM
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;62.797km;R$ 112.990;Niterói / RJ
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2020;62.880km;R$ 94.557;Porto Alegre / RS
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;62.895km;R$ 60.990;Taboão da Serra / SP
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;62.900km;R$ 99.990;Maceió / AL
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;62.994km;R$ 169.990;Palmas / TO
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;63.000km;R$ 53.890;Fortaleza / CE
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2020;2021;63.000km;R$ 171.990;São Luis / MA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2020;63.073km;R$ 83.490;Belo Horizonte / MG
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;63.102km;R$ 67.990;Mauá / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;63.119km;R$ 115.990;Uberlândia / MG
Fiat;Toro;2.0 16V TURBO DIESEL FREEDOM 4WD AT9;2020;2021;63.141km;R$ 159.990;Maringá / PR
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2020;2020;63.156km;R$ 56.690;Brasília / DF
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;63.223km;R$ 61.590;São Luis / MA
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;63.225km;R$ 69.930;Feira de Santana / BA
Renault;Sandero;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;63.240km;R$ 74.990;Palmas / TO
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2018;2019;63.281km;R$ 111.790;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;63.335km;R$ 65.990;Canoas / RS
Ford;Ka;1.0 TI-VCT FLEX SE PLUS SEDAN MANUAL;2019;2020;63.352km;R$ 63.590;São José do Rio Preto / SP
Ford;Ranger;2.2 XL 4X4 CD 16V DIESEL 4P MANUAL;2019;2020;63.405km;R$ 152.990;Feira de Santana / BA
Ford;Ranger;2.2 XL 4X4 CD 16V DIESEL 4P MANUAL;2019;2020;63.405km;R$ 152.990;Salvador / BA
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2019;63.433km;R$ 155.990;Osasco / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2019;63.433km;R$ 155.990;Osasco / SP
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;63.448km;R$ 82.990;Contagem / MG
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;63.490km;R$ 51.990;Santos / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;63.491km;R$ 61.590;Sorocaba / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2019;63.505km;R$ 52.990;Curitiba / PR
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;63.515km;R$ 67.990;São Paulo / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;63.515km;R$ 69.990;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;63.568km;R$ 56.490;Belo Horizonte / MG
Chevrolet;Tracker;1.2 TURBO FLEX PREMIER AUTOMÁTICO;2020;2021;63.577km;R$ 126.530;Feira de Santana / BA
Chevrolet;Tracker;1.2 TURBO FLEX PREMIER AUTOMÁTICO;2020;2021;63.577km;R$ 126.530;Lauro de Freitas / BA
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;63.588km;R$ 82.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;63.589km;R$ 65.490;São Paulo / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;63.604km;R$ 169.990;Betim / MG
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;63.638km;R$ 82.490;Sorocaba / SP
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;63.645km;R$ 105.790;Maringá / PR
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;63.650km;R$ 81.590;São Luis / MA
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;63.654km;R$ 66.590;Cascavel / PR
Chevrolet;Onix;1.0 TURBO FLEX LTZ MANUAL;2020;2021;63.680km;R$ 80.990;Curitiba / PR
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ MANUAL;2020;2021;63.680km;R$ 80.990;Londrina / PR
