make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2020;72.494km;R$ 109.290;Osasco / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2020;72.494km;R$ 109.290;Osasco / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2019;2020;72.502km;R$ 53.990;São Paulo / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2019;2020;72.502km;R$ 53.990;São Paulo / SP
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;72.521km;R$ 54.490;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX MANUAL;2021;2021;72.551km;R$ 64.990;São Paulo / SP
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2020;2021;72.636km;R$ 76.590;São Paulo / SP
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;72.643km;R$ 53.990;Santos / SP
Volkswagen;Tiguan;1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;2019;2020;72.683km;R$ 164.990;Anápolis / GO
Hyundai;Hb20s;1.0 UNIQUE 12V FLEX 4P MANUAL;2019;2019;72.706km;R$ 59.990;Sorocaba / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;72.723km;R$ 65.990;Osasco / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;72.723km;R$ 60.990;Belo Horizonte / MG
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;72.723km;R$ 65.990;Osasco / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;72.734km;R$ 69.990;Ribeirão Preto / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;72.745km;R$ 65.990;Curitiba / PR
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;72.774km;R$ 52.855;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;72.792km;R$ 65.990;Sorocaba / SP
Renault;Logan;1.6 16V SCE FLEX ZEN MANUAL;2020;2021;72.802km;R$ 66.590;Goiânia / GO
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;72.862km;R$ 61.590;Palmas / TO
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;72.975km;R$ 57.490;Belo Horizonte / MG
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;72.975km;R$ 57.490;Contagem / MG
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2018;2019;73.000km;R$ 111.790;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;73.000km;R$ 65.990;Ananindeua / PA
Fiat;Argo;1.0 FIREFLY FLEX MANUAL;2020;2020;73.043km;R$ 62.690;Palmas / TO
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;73.049km;R$ 51.290;Mauá / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;73.056km;R$ 87.880;Anápolis / GO
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;73.089km;R$ 81.590;Belém / PA
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;73.193km;R$ 65.990;São Paulo / SP
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2020;73.202km;R$ 100.990;São Bernardo do Campo / SP
