make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;Voyage;1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO;2019;2020;79.873km;R$ 66.590;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;79.944km;R$ 59.990;São Paulo / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;79.980km;R$ 57.490;Pato Branco / PR
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;80.000km;R$ 90.990;Americana / SP
Fiat;Argo;1.3 FIREFLY FLEX DRIVE MANUAL;2020;2021;80.000km;R$ 65.990;Americana / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;80.000km;R$ 65.990;Americana / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;80.000km;R$ 69.990;São Paulo / SP
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;80.000km;R$ 54.490;São Paulo / SP
Chevrolet;Onix;1.0 TURBO FLEX PLUS LT AUTOMÁTICO;2020;2020;80.000km;R$ 81.490;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;80.000km;R$ 61.190;Jundiaí / SP
Renault;Captur;1.6 16V SCE FLEX INTENSE X-TRONIC;2019;2020;80.000km;R$ 92.490;Jundiaí / SP
Ford;Ka;1.5 TI-VCT FLEX SE PLUS SEDAN MANUAL;2020;2020;80.000km;R$ 67.490;São Paulo / SP
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2019;80.000km;R$ 54.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;80.000km;R$ 87.880;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;80.000km;R$ 65.990;São Paulo / SP
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2017;2018;80.000km;R$ 127.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;80.000km;R$ 65.990;São Paulo / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;80.000km;R$ 57.990;Rio de Janeiro / RJ
Nissan;March;1.0 S 12V FLEX 4P MANUAL;2018;2019;80.000km;R$ 49.990;Rio de Janeiro / RJ
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;80.000km;R$ 57.490;Rio de Janeiro / RJ
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2019;2020;80.000km;R$ 55.990;Mogi das Cruzes / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;80.000km;R$ 61.190;Osasco / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2019;2020;80.000km;R$ 55.990;São Bernardo do Campo / SP
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2020;2020;80.000km;R$ 51.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;80.000km;R$ 83.290;Mesquita / RJ
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;80.000km;R$ 63.490;Recife / PE
Chevrolet;Onix;1.0 MPFI JOY 8V FLEX 4P MANUAL;2018;2019;80.000km;R$ 55.690;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;80.000km;R$ 87.880;São José do Rio Preto / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2018;2019;80.000km;R$ 55.990;Taboão da Serra / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;80.000km;R$ 56.490;Vitória da Conquista / BA
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;80.000km;R$ 60.990;Goiânia / GO
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;80.005km;R$ 64.390;Campo Grande / MS
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;80.150km;R$ 71.990;Osasco / SP
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;80.200km;R$ 54.490;São Paulo / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;80.205km;R$ 56.990;São Jose dos Campos / SP
Nissan;Kicks;1.6 16V FLEXSTART SV 4P XTRONIC;2018;2018;80.249km;R$ 94.990;Rio de Janeiro / RJ
Renault;Sandero;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;80.250km;R$ 57.490;Maceió / AL
Renault;Sandero;1.0 12V SCE FLEX ZEN MANUAL;2020;2021;80.250km;R$ 57.490;Natal / RN
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;80.262km;R$ 59.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;80.370km;R$ 64.390;Santo André / SP
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;80.387km;R$ 105.790;Pato Branco / PR
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX COMFORTLINE TIPTRONIC;2019;2019;80.399km;R$ 109.990;Santo André / SP
Toyota;Corolla;2.0 VVT-IE FLEX GLI DIRECT SHIFT;2019;2020;80.434km;R$ 124.990;São Paulo / SP
Volkswagen;Virtus;1.6 MSI TOTAL FLEX AUTOMÁTICO;2019;2019;80.437km;R$ 75.990;Santos / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;80.539km;R$ 59.990;Jundiaí / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;80.567km;R$ 83.290;Mesquita / RJ
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;80.580km;R$ 62.490;São Paulo / SP
Ford;Ka;1.5 TI-VCT FLEX SEL SEDAN MANUAL;2018;2019;80.589km;R$ 63.990;Belo Horizonte / MG
Toyota;Corolla;2.0 ALTIS 16V FLEX 4P AUTOMÁTICO;2018;2019;80.600km;R$ 121.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;80.622km;R$ 58.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;80.683km;R$ 60.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;80.683km;R$ 60.990;Porto Alegre / RS
