make;model;version;year_manufacture;year_model;km;price;location
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;64.000km;R$ 98.940;São Luis / MA
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;64.000km;R$ 54.490;São José do Rio Preto / SP
Chevrolet;Onix;1.0 TURBO FLEX LTZ MANUAL;2020;2021;64.012km;R$ 82.490;Presidente Prudente / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;64.058km;R$ 56.490;Presidente Prudente / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;64.076km;R$ 84.990;Curitiba / PR
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2019;2020;64.115km;R$ 77.990;Canoas / RS
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;64.127km;R$ 56.490;Feira de Santana / BA
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;64.201km;R$ 52.990;João pessoa / PB
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;64.311km;R$ 99.990;Recife / PE
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;64.449km;R$ 87.880;Presidente Prudente / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;64.571km;R$ 65.990;Feira de Santana / BA
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;64.591km;R$ 61.590;Guarapuava / PR
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2019;2019;64.625km;R$ 73.990;Curitiba / PR
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2020;2021;64.651km;R$ 171.990;Palmas / TO
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;64.691km;R$ 60.990;São Paulo / SP
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;64.691km;R$ 60.990;Osasco / SP
Toyota;Yaris;1.3 16V FLEX XL MANUAL;2019;2020;64.800km;R$ 74.990;São Paulo / SP
Toyota;Yaris;1.3 16V FLEX XL MANUAL;2019;2020;64.800km;R$ 74.990;Osasco / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;64.823km;R$ 87.880;Betim / MG
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;64.915km;R$ 52.990;Guarapuava / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;64.917km;R$ 55.890;Campo Grande / MS
Chevrolet;Cruze;1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO;2019;2020;64.993km;R$ 103.690;Rio de Janeiro / RJ
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;65.000km;R$ 87.880;Fortaleza / CE
Ford;Ka;1.5 TI-VCT FLEX SE SEDAN MANUAL;2020;2021;65.000km;R$ 64.490;Rio de Janeiro / RJ
Ford;Ka;1.5 TI-VCT FLEX SEL SEDAN MANUAL;2018;2019;65.000km;R$ 63.990;Belo Horizonte / MG
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;65.000km;R$ 69.990;Rio de Janeiro / RJ
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2020;65.000km;R$ 120.990;Rio de Janeiro / RJ
Nissan;Frontier;2.3 16V TURBO DIESEL XE CD 4X4 AUTOMÁTICO;2018;2019;65.000km;R$ 172.990;Ribeirão Preto / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;65.000km;R$ 87.880;São José do Rio Preto / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;65.000km;R$ 58.590;Taboão da Serra / SP
Toyota;Yaris;1.3 16V FLEX XL MANUAL;2019;2020;65.000km;R$ 74.990;Vitória / ES
Ford;Ranger;2.2 XLS 4X4 CD 16V DIESEL 4P AUTOMÁTICO;2019;2020;65.000km;R$ 182.990;Ananindeua / PA
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2021;2021;65.000km;R$ 65.990;Natal / RN
Volkswagen;Polo;1.0 MPI TOTAL FLEX MANUAL;2020;2020;65.020km;R$ 65.420;Salvador / BA
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;65.077km;R$ 56.490;Salvador / BA
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2020;65.090km;R$ 94.557;Osasco / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2020;65.090km;R$ 94.557;São Paulo / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2020;65.090km;R$ 94.557;Osasco / SP
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;65.090km;R$ 94.557;São Paulo / SP
Chevrolet;S10;2.8 16V TURBO DIESEL LS CD 4X4 MANUAL;2020;2021;65.102km;R$ 171.990;Guarapuava / PR
Toyota;Camry;3.5 XLE V6 24V GASOLINA 4P AUTOMÁTICO;2018;2018;65.139km;R$ 176.990;Balneário Camboriú / SC
Toyota;Hilux;2.8 D-4D TURBO DIESEL CD POWER PACK 4X4 MANUAL;2020;2021;65.193km;R$ 209.990;Guarapuava / PR
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;65.220km;R$ 52.990;Cascavel / PR
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2020;2021;65.228km;R$ 63.490;São Paulo / SP
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;65.230km;R$ 69.990;Belo Horizonte / MG
Chevrolet;Onix;1.0 TURBO FLEX PLUS LT MANUAL;2020;2020;65.262km;R$ 76.990;Feira de Santana / BA
Renault;Kwid;1.0 12V SCE FLEX ZEN MANUAL;2019;2020;65.263km;R$ 49.990;São Jose dos Campos / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;65.296km;R$ 56.490;Curitiba / PR
Ford;Ka;1.0 TI-VCT FLEX SE MANUAL;2019;2020;65.335km;R$ 55.990;Pato Branco / PR
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;65.365km;R$ 87.880;Maringá / PR
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;65.408km;R$ 87.880;Anápolis / GO
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2020;2021;65.459km;R$ 52.990;João pessoa / PB
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;65.461km;R$ 60.990;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;65.472km;R$ 87.880;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;65.473km;R$ 63.190;Recife / PE
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;65.489km;R$ 65.990;Ribeirão Preto / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;65.495km;R$ 61.190;São Bernardo do Campo / SP
Fiat;Uno;1.0 FIREFLY FLEX WAY 4P MANUAL;2020;2021;65.500km;R$ 55.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2019;2020;65.546km;R$ 62.190;Guarapuava / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;65.616km;R$ 55.990;Vitória da Conquista / BA
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX AUTOMÁTICO;2020;2020;65.655km;R$ 108.990;Ponta Grossa / PR
Jeep;Compass;2.0 16V FLEX LIMITED AUTOMÁTICO;2019;2019;65.655km;R$ 143.990;Joinville / SC
Fiat;Doblo;1.8 MPI ESSENCE 7L 16V FLEX 4P MANUAL;2020;2021;65.660km;R$ 90.990;Balneário Camboriú / SC
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;65.752km;R$ 53.990;Santos / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;65.796km;R$ 87.880;Contagem / MG
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2019;2020;65.858km;R$ 50.490;Rio de Janeiro / RJ
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;65.904km;R$ 69.930;Maringá / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2019;2019;66.000km;R$ 114.990;Niterói / RJ
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2021;66.000km;R$ 86.990;Manaus / AM
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;66.000km;R$ 81.590;Goiânia / GO
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2020;2021;66.045km;R$ 56.490;Joinville / SC
Renault;Logan;1.0 12V SCE FLEX ZEN MANUAL;2021;2022;66.055km;R$ 73.990;Campo Grande / MS
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;66.076km;R$ 83.290;Mogi das Cruzes / SP
Volkswagen;Virtus;1.6 MSI TOTAL FLEX AUTOMÁTICO;2020;2020;66.148km;R$ 81.990;Goiânia / GO
