make;model;version;year_manufacture;year_model;km;price;location
Fiat;Mobi;1.0 EVO FLEX LIKE. MANUAL;2020;2020;38.000km;R$ 51.990;Natal / RN
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;38.000km;R$ 117.990;Palmas / TO
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;38.020km;R$ 117.990;Fortaleza / CE
Ford;Ka;1.5 TI-VCT FLEX SE PLUS MANUAL;2020;2021;38.039km;R$ 63.990;João pessoa / PB
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2020;38.190km;R$ 88.890;Manaus / AM
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;38.214km;R$ 117.990;Fortaleza / CE
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;38.240km;R$ 65.290;Manaus / AM
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;38.261km;R$ 97.590;Goiânia / GO
Jeep;Renegade;1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;2020;2021;38.282km;R$ 100.590;Cascavel / PR
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;38.327km;R$ 140.390;Belo Horizonte / MG
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;38.347km;R$ 140.390;Teresina / PI
Volkswagen;Golf;1.4 TSI HÍBRIDO GTE DSG;2019;2020;38.349km;R$ 215.990;Goiânia / GO
Audi;Q3;1.4 35 TFSI FLEX PRESTIGE S TRONIC;2019;2020;38.360km;R$ 202.990;Balneário Camboriú / SC
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;38.407km;R$ 110.290;São Paulo / SP
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2021;2021;38.415km;R$ 112.990;São Paulo / SP
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2020;2021;38.491km;R$ 114.990;Goiânia / GO
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;38.647km;R$ 140.390;Guarapuava / PR
