make;model;version;year_manufacture;year_model;km;price;location
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2020;84.104km;R$ 62.890;Manaus / AM
Volkswagen;Virtus;1.6 MSI TOTAL FLEX MANUAL;2019;2020;84.115km;R$ 75.490;Belo Horizonte / MG
Chevrolet;Prisma;1.4 MPFI LT 8V FLEX 4P AUTOMÁTICO;2018;2019;84.151km;R$ 72.990;Jaraguá do Sul / SC
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2020;84.312km;R$ 81.490;Osasco / SP
Volkswagen;Polo;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2020;84.312km;R$ 81.490;Osasco / SP
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2019;2020;84.335km;R$ 55.655;Ponta Grossa / PR
Ford;Ka;1.5 TI-VCT FLEX SE PLUS MANUAL;2020;2020;84.368km;R$ 63.590;São Paulo / SP
Renault;Sandero;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;84.443km;R$ 54.490;Santo André / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;84.464km;R$ 56.990;Osasco / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;84.464km;R$ 56.990;Osasco / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;84.500km;R$ 56.990;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2020;2021;84.590km;R$ 64.390;Maceió / AL
Chevrolet;Onix;1.0 FLEX LT MANUAL;2020;2020;84.657km;R$ 69.990;Várzea Grande / MT
Chevrolet;Joy;1.0 SPE4 FLEX PLUS MANUAL;2020;2020;84.774km;R$ 59.990;São Paulo / SP
Renault;Logan;1.0 12V SCE FLEX LIFE MANUAL;2020;2021;84.935km;R$ 57.990;Belo Horizonte / MG
Fiat;Argo;1.3 FIREFLY FLEX DRIVE MANUAL;2020;2021;85.000km;R$ 64.390;Rio de Janeiro / RJ
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;85.000km;R$ 83.290;Rio de Janeiro / RJ
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;85.000km;R$ 83.290;Niterói / RJ
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2020;2020;85.032km;R$ 76.990;São Paulo / SP
Fiat;Uno;1.0 FIRE FLEX ATTRACTIVE MANUAL;2019;2020;85.040km;R$ 50.490;Curitiba / PR
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;85.179km;R$ 67.990;Belo Horizonte / MG
Volkswagen;Polo;1.6 MSI TOTAL FLEX MANUAL;2019;2020;85.179km;R$ 67.990;Palmas / TO
Chevrolet;Spin;1.8 PREMIER 8V FLEX 4P AUTOMÁTICO;2020;2021;85.195km;R$ 98.990;Canoas / RS
Fiat;Fiorino;1.4 MPI FURGÃO HARD WORKING 8V FLEX 2P MANUAL;2018;2019;85.315km;R$ 76.990;Porto Alegre / RS
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2021;2021;85.537km;R$ 73.990;Osasco / SP
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;2021;2021;85.537km;R$ 73.990;Osasco / SP
Audi;A4;2.0 TFSI GASOLINA AVANT PRESTIGE PLUS S TRONIC;2019;2019;85.649km;R$ 204.990;Belo Horizonte / MG
