make;model;version;year_manufacture;year_model;km;price;location
Volkswagen;Voyage;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;18.000km;73990;Palmas / TO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2021;18.048km;85540;São Paulo / SP
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2020;2020;18.175km;146990;Betim / MG
Volkswagen;Jetta;1.4 250 TSI TOTAL FLEX R-LINE TIPTRONIC;2020;2020;18.175km;146990;Belo Horizonte / MG
Renault;Master;2.3 DCI DIESEL MINIBUS EXECUTIVE 16L L3H2 3P MANUAL;2019;2020;18.234km;195990;Feira de Santana / BA
Renault;Master;2.3 DCI DIESEL MINIBUS EXECUTIVE 16L L3H2 3P MANUAL;2019;2020;18.234km;195990;João pessoa / PB
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2020;2021;18.274km;142390;Duque de Caxias / RJ
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;18.379km;94990;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;18.523km;56890;São Paulo / SP
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2019;2020;18.523km;56890;São Paulo / SP
Fiat;Argo;1.0 FIREFLY FLEX DRIVE MANUAL;2021;2021;18.668km;67990;Lauro de Freitas / BA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;18.938km;91590;Uberlândia / MG
Jeep;Compass;2.0 16V FLEX LONGITUDE AUTOMÁTICO;2021;2021;19.000km;142390;Duque de Caxias / RJ
Volkswagen;T-Cross;1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO;2019;2020;19.000km;111990;Fortaleza / CE
Volkswagen;Nivus;1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;2021;2021;19.000km;129990;São Luis / MA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.000km;91590;Natal / RN
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.000km;91590;Natal / RN
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;19.063km;94990;Belo Horizonte / MG
Fiat;Toro;1.8 16V EVO FLEX ENDURANCE AT6;2020;2021;19.263km;105790;Anápolis / GO
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.265km;91590;Curitiba / PR
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.265km;91590;Ponta Grossa / PR
Volkswagen;Voyage;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;19.295km;72990;Guarapuava / PR
Volkswagen;Gol;1.0 12V MPI TOTALFLEX 4P MANUAL;2021;2022;19.393km;63590;Recife / PE
Volkswagen;Gol;1.6 MSI TOTALFLEX 4P MANUAL;2021;2022;19.550km;68990;Ananindeua / PA
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.632km;91590;João pessoa / PB
Hyundai;Hb20;1.0 12V FLEX EVOLUTION MANUAL;2021;2022;19.714km;76990;João pessoa / PB
Peugeot;2008;1.6 16V FLEX ALLURE PACK 4P AUTOMÁTICO;2021;2022;19.736km;91590;São Luis / MA
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2019;2020;19.798km;85590;São Paulo / SP
Volkswagen;Virtus;1.0 200 TSI COMFORTLINE AUTOMÁTICO;2020;2020;19.798km;85590;São Paulo / SP
Volkswagen;Voyage;1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO;2021;2022;19.867km;86990;Guarapuava / PR
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;2021;2022;19.890km;94990;Osasco / SP
